,text,dominant_topics,dominant_topics_words
3492,"Yesterday I went around 6pm, ordered a Modelo beer and it was burning hot. It took me 20 minutes before they could bring me a lemon, I had to ask the manager on duty directly, because none of the 4 waiters I asked for it could bring it to me.
My flautas were already cold when they arrived at my table, they never offered me sauces, the lettuce was too stale and the grated cheese tasted DISGUSTING. I have visited multiple branches and NONE has had anything similar happen to me.
ZERO RECOMMENDED.","[6, 7, 10]","nice, great, amazing, place, food, food, service, bad, tacos, order, pretty, negative, cdmx, delivery, positive"
3493,"Hey, the breakfast packages are very worth it, just as the order of giant flautas is the same as the pieces of bread ð¥ are large and the service is good, the waiters and managers, all very attentive.","[0, 5]","good, beautiful, place, eat, service, closed, interesting, noisy, horrible, favorite"
3494,As always very good place to eat,"[2, 4, 5]","family, experience, place, best, nice, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
3495,"The only bad thing is the waiting time, the waiters are attentive, the pozole is very delicious","[0, 11]","good, beautiful, place, eat, service, excellent, service, place, attention, station"
3496,It's 8:40 am and it's closed. But advertised as open.,[10],"pretty, negative, cdmx, delivery, positive"
3497,"The place was recently remodeled. They expanded the area of ââattention. More tables - we hope - less time spent eating.
My best suggestion will continue to be to reduce the amount of salt you put in your food. People can put it to their liking. The obvious thing is that we can't take it away.",[7],"food, service, bad, tacos, order"
3498,Excellent,[1],"love, recommended, highly, expensive, fine"
3499,Beautiful architecture to visit on the guided tour where they explain its history and architectural trends,[3],"beautiful, cathedral, history, incredible, many"
3500,Nice,"[4, 5]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
3501,Beautiful and elegant,[3],"beautiful, cathedral, history, incredible, many"
3502,The most beautiful place in the city,"[0, 3, 4, 14]","good, beautiful, place, eat, service, beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, service, fast, delicious, food, good"
3503,A place full of history.,"[4, 14]","parking, de, casa, dishes, good, service, fast, delicious, food, good"
3504,"The good thing is that there are few people.
The bad thing is that the food is not very well prepared: the flautas are half-hollow, the cream has a strange consistency, and the chicken is kind of hard to chew.",[0],"good, beautiful, place, eat, service"
3505,Wonderful experience. The employees were very friendly and helpful ð,"[5, 6]","closed, interesting, noisy, horrible, favorite, nice, great, amazing, place, food"
3506,Iconic place. Don't miss it.,"[4, 10]","parking, de, casa, dishes, good, pretty, negative, cdmx, delivery, positive"
3507,Took me 24 years to go here and I regret never doing it again,[],
3508,A magnificent view of the city,[14],"service, fast, delicious, food, good"
3509,"Crown jewel of Canada, hope it could have been cleaner.",[10],"pretty, negative, cdmx, delivery, positive"
3510,Beautiful view of Toronto and Toronto Islands.,[3],"beautiful, cathedral, history, incredible, many"
3511,"The tower itself was great but some of the staff, including the manager, made it horrible. They caused us a ton of stress and headache to print our tickets because our e-tickets were for some stupid reason unreadable by their scanners. The manager argued with us endlessly for no reason whatsoever.",[6],"nice, great, amazing, place, food"
3512,"The food was good as always.
The place was very small and the parking was a drag.","[2, 6]","family, experience, place, best, nice, nice, great, amazing, place, food"
3513,"The only thing worth it is the Pozole, and probably a little bit of the quesadillas, the rest is TERRIBLE.",[0],"good, beautiful, place, eat, service"
3514,On the weekends I've gone there's a waiting line of about 30 minutes.,[],
3515,"Good service, very attentive at all times","[2, 5, 9]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, toos, house, super, serve, quickly"
3516,"Mexican food, fast service, if you don't feel like cooking and don't want to spend a lot, don't hesitate.","[7, 8, 9]","food, service, bad, tacos, order, place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
3517,"We tried to eat there today, and the whole restaurant smelled like sewers. I don't like giving negative reviews, but I can't imagine they'd allow this to happen.",[7],"food, service, bad, tacos, order"
3518,"Just another ToÃ±o's house, just like all the others.",[],
3519,"Beautiful place
Very spacious and lots to see
Perfect for families","[3, 4, 5]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
3520,Very interesting exhibits. Family has a really good time.,"[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
3521,"Interesting display of the Colour of Nature show.  Great transitional theme.
Auschwitz presentation was well done.  The interviews with survivors was very poignant and well done to present the same survivors through different parts of the exhibit.  It would have been interesting to know what happened to the survivors after the final March.   Iâm guessing it is too much of a new story. There were a number of pinch points where too many people were listening to the same video so you felt you were interrupting  others who were watching the video. And it wasnât busy.",[6],"nice, great, amazing, place, food"
3522,Very interesting exhibit on Auschwitz and the tragedy it was would recommend to any interested in that time of history,"[6, 10, 14]","nice, great, amazing, place, food, pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
3523,A good place to visit with tons of things to explore and spend a good amount of time. There are a lot of details on each section and the building is awesome (prepare at least 2~3h to explore the whole building).,"[2, 14]","family, experience, place, best, nice, service, fast, delicious, food, good"
3524,"Wow..It may take up to 5 hours to explore everything here. You can explore different sections sorted by countries and history, love the fact that museum exist and things are preserved. I also admired one of the section in which was dedicated to metal and geological things.",[7],"food, service, bad, tacos, order"
3525,Very attentive and give good service.,"[2, 5, 9]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, toos, house, super, serve, quickly"
3526,"Like any ToÃ±o house, everything is delicious and the service is excellent.
The place has parking.","[0, 1, 11, 12]","good, beautiful, place, eat, service, love, recommended, highly, expensive, fine, excellent, service, place, attention, station, hotel, location, view, staff, great"
